date,Revenue,Gross Profit,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Diluted EPS,EBITDA,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company
2018-09-30,1074.638976,437.451968,225.163008,161.34,-77.972,61.285244,61.285244,0.1902790069580078,469.06,8671.151808,421.457984,-597.992,125.926,AR
2018-12-31,1242.779008,478.705024,293.868992,222.467008,18.736,134.662816,134.662816,0.4269450008869171,557.571968,8487.47712,821.588992,-580.385024,-241.204,AR
2019-03-31,1211.867008,468.750976,243.636,88.675,1025.756032,-6.410965,-6.410965,-0.020767999812960625,738.404992,8292.797952,539.004032,-204.816992,-334.187008,AR
2019-06-30,1015.936,134.05702400000004,-46.178,-86.757,42.168,-69.128384,-69.128384,-0.22367200255393982,474.067008,8339.699968,218.104,-340.768992,122.665,AR
2019-09-30,1018.096,107.01497600000005,-37.332,-202.944992,-878.864,-152.751312,-152.751312,-0.5008140206336975,498.575008,7446.697984,198.41,-279.740992,81.331,AR
2019-12-31,1023.908992,223.846976,-74.553,-56.819,-482.196,-37.953036,-37.953036,-0.12989099323749542,352.515008,6970.742784,147.94,-216.163008,68.223,AR
2020-03-31,962.198016,121.44998400000004,124.77,-56.387,-338.809984,-40.673248,-40.673248,-0.14310100674629211,714.075008,6592.54,200.676992,-186.680992,-13.996,AR
2020-06-30,966.838016,75.11302400000001,-96.802,-134.523008,-463.068,-105.48672,-105.48672,-0.39678099751472473,503.827008,6432.979208,115.963,-262.927008,146.964,AR
2011-03-31,200.039008,89.728008,66.932,64.355,39.792,41.209,40.335,0.8395580053329468,134.600992,438.452992,89.315,-149.104992,-1.26,TALO
2011-06-30,234.836,112.053,91.257,89.824,57.196,56.681848,55.489848,1.156978964805603,163.903008,534.284992,157.216992,-117.548,-3.554,TALO
2011-09-30,206.312,90.004,72.412,71.12,51.821,49.1677,48.1917,1.0033880472183228,136.874,663.77408,141.880992,-158.154,-0.294,TALO
2011-12-31,223.616,98.779,75.281,73.656,45.523,46.7463,46.1183,0.9554319977760315,150.524,667.828992,182.436992,-254.443008,45.003,TALO
2012-03-31,244.956992,100.600992,85.412,80.132,50.974,51.289248,50.412248,1.0447269678115845,169.987008,734.905088,118.932,-106.841,213.299008,TALO
2012-06-30,221.144992,74.60699199999999,50.74,43.501,30.547,27.0266,27.0266,0.5471799969673157,137.872992,832.492032,130.085,-169.916992,-0.16,TALO
2012-09-30,227.396992,68.52400000000002,46.297,39.165,23.659,24.8368,24.2968,0.5026019811630249,135.571008,826.15904,124.493,-171.611008,-0.545,TALO
2012-12-31,254.562,104.898,78.088,69.769,44.246,45.326952,44.841952,0.9123280048370361,161.471008,872.132992,135.836,-119.916,87.42,TALO
2013-03-31,233.732,89.504,74.049,65.257,40.758,41.551648,40.781648,0.8363109827041626,149.484,893.52304,146.766,-161.567008,-3.372,TALO
2013-06-30,244.508992,85.47798399999999,68.157,60.059,39.022,38.1328,37.1178,0.7617509961128235,155.366,951.036032,129.207,-163.876992,-0.125,TALO
2013-09-30,256.684992,83.10998400000001,64.106,58.277,36.102,37.1966,36.2726,0.7424409985542297,156.959008,972.56304,163.536992,-146.784,-0.091,TALO
2013-12-31,239.252992,73.584,50.349,44.725,1.752,28.0263,27.9183,0.5723069906234741,145.426,970.285984,154.695008,-150.808,84.182,TALO
2014-03-31,223.83,69.038,49.151,41.644,25.943,26.33235,25.79535,0.5262960195541382,131.797,985.952032,115.472,-237.232992,-6.691,TALO
