date,Revenue,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company,target_revenue,target_income
2017-06-30,504.420992,62.885,-43.180384,-17.354,-52.2869,-52.2869,4977.687936,285.948992,-48.834,-46.738,MUR,497.619008,38.025
2017-09-30,497.619008,38.025,-45.521152,-66.318,-54.594048,-54.594048,4980.133888,227.336,-233.284992,-54.145,MUR,539.656,38.949692
2017-12-31,539.656,38.949692,45.522924,-284.760992,21.339,21.339,4620.191104,309.276992,-302.889984,-45.73,MUR,366.827008,8.855253
2018-03-31,366.827008,8.855253,-16.79495,90.581,-26.05119,-26.05119,4692.307072,278.272992,-273.641984,-52.305,MUR,389.143008,22.042
2018-06-30,389.143008,22.042,-10.21519,-25.185,-15.43023,-15.43023,4671.638144,220.794,-317.822016,49.063,MUR,473.235008,93.522072
2018-09-30,473.235008,93.522072,18.654126,56.131,12.43304,12.43304,4766.928,269.684992,-232.092992,28.817,MUR,503.448,66.451872
2018-12-31,503.448,66.451872,-7.2818355,47.611,-6.9311,-6.9311,5197.641952,194.296992,-957.468032,259.638,MUR,629.353984,126.108864
2019-03-31,629.353984,126.108864,75.291864,22.923,23.09432,23.09432,5326.676928,217.196992,-270.337984,-22.906,MUR,738.352,188.604992
2019-06-30,738.352,188.604992,74.741,98.824,41.53158,41.53158,5098.543936,437.036992,-1607.635968,1180.089984,MUR,813.584,186.744896
2019-09-30,813.584,186.744896,88.151896,158.334,53.674528,53.674528,6025.819712,497.796,-348.408992,-39.857,MUR,634.964992,-31.023152
2019-12-31,634.964992,-31.023152,56.107052,-91.266,22.63415,22.63415,5804.611104,335.878016,-333.180992,-131.776,MUR,1001.230016,354.908288
2020-03-31,1001.230016,354.908288,-44.249696,-503.84,-47.51542,-47.51542,5098.302864,392.656992,-376.129984,87.764,MUR,209.864992,-294.600992
2011-03-31,23.805378,8.946047,9.253089,-7.057842,6.474268,6.474268,436.451302,-7.160821,-46.74472,1.5,NOG,29.977866,12.874176
2011-06-30,29.977866,12.874176,12.889574,20.4329,7.040738,7.040738,461.54018,42.655508,-64.981292,0.0,NOG,41.94464,18.865622
2011-09-30,41.94464,18.865622,18.684822,28.617222,10.998712,10.998712,494.498672,13.891178,-97.75576,14.750853,NOG,50.588984,23.492156
2011-12-31,50.588984,23.492156,23.331986,-1.380788,13.961015,13.961015,496.570072,35.76366,-91.386032,53.636308,NOG,59.887904,24.192072
2012-03-31,59.887904,24.192072,23.996174,8.805911,14.443824,14.443824,510.046996,38.613432,-145.106896,104.04876,NOG,69.408288,25.394488
2012-06-30,69.408288,25.394488,22.667084,43.626396,13.647085,13.647085,558.239568,46.948016,-138.934528,113.323296,NOG,82.40408,28.627768
2012-09-30,82.40408,28.627768,23.422052,0.300161,14.119631,14.119631,565.375824,51.135484,-135.830992,67.7584,NOG,84.725488,36.974976
2012-12-31,84.725488,36.974976,31.253962,19.552156,21.437156,21.437156,586.185264,61.82968,-112.300008,55.62376,NOG,82.808736,35.574724
2013-03-31,82.808736,35.574724,29.466788,8.951519,18.121174,18.121174,596.661704,56.356932,-76.050816,14.788049,NOG,79.152136,30.719384
2013-06-30,79.152136,30.719384,22.632004,25.011672,14.601005,14.601005,623.455552,54.0795,-110.372176,65.905952,NOG,99.13736,41.466208
2013-09-30,99.13736,41.466208,32.084064,1.702904,20.0111,20.0111,600.865088,58.48278,-82.314928,17.605308,NOG,95.934656,31.495648
2013-12-31,95.934656,31.495648,21.910808,17.400936,13.662937,13.662937,619.828352,53.855192,-89.798496,29.761872,NOG,89.984992,28.417748
2014-03-31,89.984992,28.417748,18.549446,6.589763,11.431328,11.431328,613.228176,72.747616,-119.200456,48.874616,NOG,109.909544,38.469768
2014-06-30,109.909544,38.469768,28.145084,-4.41245,17.33699,17.33699,609.458384,56.14288,-109.715592,59.715948,NOG,112.176592,35.598668
2014-09-30,112.176592,35.598668,24.987442,57.985312,15.60642,15.60642,668.310592,80.480208,-116.433464,29.750236,NOG,111.679896,31.962388
2014-12-31,111.679896,31.962388,20.708288,103.58332,12.826322,12.826322,770.861632,64.886832,-131.690336,68.091848,NOG,90.456008,21.277962
2015-03-31,90.456008,21.277962,9.541757,-229.738576,5.985675,5.985675,542.876624,66.876452,-110.39652,39.92364,NOG,94.056424,32.617592
2015-06-30,94.056424,32.617592,18.230098,-250.060624,11.362383,11.362383,293.791696,44.822512,-77.769848,34.318304,NOG,101.156552,47.77914
2015-09-30,101.156552,47.77914,23.217884,-323.242048,13.397156,13.397156,-28.341728,60.210328,-45.058176,-18.133664,NOG,56.913028,10.944835
2015-12-31,56.913028,10.944835,24.42963,-172.313312,17.76963,17.76963,-197.602144,75.106424,-55.711124,-20.135452,NOG,53.819252,17.99911
2016-03-31,53.819252,17.99911,0.817892,-126.565752,0.545163,0.545163,-322.505056,55.214152,-20.05782,-34.158576,NOG,62.520924,26.4551
2016-06-30,62.520924,26.4551,10.408957,-108.978664,6.509132,6.509132,-429.797216,3.308788,-18.37399,14.344174,NOG,50.754992,19.99274
2016-09-30,50.754992,19.99274,3.847482,-45.618896,21.547482,21.547482,-476.060416,39.195768,-27.602416,-11.941443,NOG,54.155264,20.697472
2016-12-31,54.155264,20.697472,4.479057,-12.330398,2.390236,2.390236,-487.421664,4.172867,-24.92986,23.924072,NOG,48.760304,16.187606
2017-03-31,48.760304,16.187606,-0.116019,16.940524,-0.069363,-0.069363,-470.090272,29.716382,-20.271464,-10.412217,NOG,50.72988,16.152975
2017-06-30,50.72988,16.152975,-0.370143,13.801859,-0.2699524375,-0.2699524375,-455.470976,0.027453,-22.30526,20.567836,NOG,57.657028,20.232782
2017-09-30,57.657028,20.232782,3.560334,-16.087467,2.243648,2.243648,-470.604448,35.837184,-32.869346,0.0,NOG,37.00228,-3.65951
2017-12-31,37.00228,-3.65951,9.188297,-23.848688,15.758313,15.758313,-490.840576,7.386043,-43.79368,131.81416,NOG,78.754776,38.046536
2018-03-31,78.754776,38.046536,15.106411,2.965097,11.253376,11.253376,-488.77648,45.520676,-58.021512,-0.209611,NOG,96.781832,46.2538
2018-06-30,96.781832,46.2538,24.222208,-96.546696,11.861444,11.861444,-147.820224,18.096208,-101.65796,195.013152,NOG,102.269216,35.59656
2018-09-30,102.269216,35.59656,58.746248,18.978572,47.551568,47.551568,11.209984,62.7993,-150.4108,-0.346739,NOG,443.195904,354.808832
2018-12-31,443.195904,354.808832,40.078924,218.292256,80.439504,80.439504,429.86496,117.846016,-164.42832,-64.025744,NOG,-6.934,-95.305
2019-03-31,-6.934,-95.305,37.328,-107.162,18.316,18.316,312.76,98.908,-77.913,-19.409,NOG,186.44,95.446
2019-06-30,186.44,95.446,45.81,44.399,45.464,45.464,389.64896,99.392,-113.228,12.686,NOG,233.883008,126.375
2019-09-30,233.883008,126.375,48.685,94.381,36.305,36.305,514.113984,71.023,-226.807008,154.892,NOG,59.012,-64.098
2019-12-31,59.012,-64.098,24.539,-107.939,-8.209412,-8.209412,558.643008,70.427,-151.18,94.919,NOG,506.784992,390.875008
2020-03-31,506.784992,390.875008,28.572,368.286016,21.696,21.696,1009.006944,100.654,-104.5,-3.71,NOG,98.106,28.085
2011-03-31,58.232,26.413,21.527,-6.847,14.30075,14.30075,544.915016,22.845,-200.788992,389.414016,OAS,63.066,29.81
2011-06-30,63.066,29.81,23.428,33.349,13.75085,13.75085,579.307984,79.25,-134.235008,0.0,OAS,87.417,40.49
2011-09-30,87.417,40.49,34.228,66.289,20.13445,20.13445,646.614976,37.587,-173.988,-0.003,OAS,117.866,55.83
2011-12-31,117.866,55.83,45.377,-13.401,30.1516,30.1516,634.237976,36.342,-120.378,391.307008,OAS,137.275008,57.227
2012-03-31,137.275008,57.227,43.926,16.441,27.92195,27.92195,651.089016,62.765,-245.132992,-1.206,OAS,147.89,61.214
2012-06-30,147.89,61.214,49.09,76.043,28.9882,28.9882,729.414024,109.095,-156.760992,-0.746,OAS,189.96,77.323
2012-09-30,189.96,77.323,52.242,18.314,32.92405,32.92405,750.363984,110.268,-461.548992,392.697984,OAS,218.088,91.355
2012-12-31,218.088,91.355,72.503,42.59,45.280352,45.280352,795.00496,110.258,-175.162,-1.952,OAS,249.99,120.137
2013-03-31,249.99,120.137,99.734,51.851,62.7684,62.7684,849.107008,170.547008,-217.824,-0.181,OAS,255.828,114.904
2013-06-30,255.828,114.904,93.806,67.119,59.879952,59.879952,919.213024,187.26,-188.467008,-3.181,OAS,297.431008,142.851008
2013-09-30,297.431008,142.851008,120.02,54.499,75.172896,75.172896,975.878016,178.874,-1355.25504,1140.220032,OAS,330.616992,119.541
2013-12-31,330.616992,119.541,77.924,54.49,48.6413,48.6413,1348.548992,161.175008,-683.529984,488.816,OAS,347.28,144.21
2014-03-31,347.28,144.21,104.205,169.952992,61.229448,61.229448,1519.982016,208.267008,34.901,-278.771008,OAS,360.972992,151.542
2014-06-30,360.972992,151.542,112.687,38.833,71.701552,71.701552,1564.024,277.987008,-346.952992,39.625,OAS,368.659008,135.499008
2014-09-30,368.659008,135.499008,118.299,143.844992,77.525504,77.525504,1690.086976,187.238,-395.062016,248.060992,OAS,331.219008,92.543
2014-12-31,331.219008,92.543,52.666,176.504,26.91365,26.91365,1872.300992,199.024,-370.337984,149.931008,OAS,289.646016,82.025
2015-03-31,289.646016,82.025,43.171,-18.041,26.5412,26.5412,2324.245056,88.361,-250.682,126.698,OAS,334.123008,123.182048
2015-06-30,334.123008,123.182048,85.968048,-53.23,53.98118,53.98118,2276.931968,141.524992,-123.818,-170.579008,OAS,275.335008,57.91
2015-09-30,275.335008,57.91,21.646,27.055,10.44172,10.44172,2309.48192,50.451,-75.858,180.356,OAS,261.040992,47.172
2015-12-31,261.040992,47.172,6.921,3.968,4.748824,4.748824,2319.341952,79.478,-28.79,-53.223,OAS,203.596,1.66
2016-03-31,203.596,1.66,-36.6,-64.455,-29.710808,-29.710808,2444.449024,-46.051,-30.355,86.073,OAS,209.556992,3.597
2016-06-30,209.556992,3.597,-31.414,-89.931,-20.41311,-20.41311,2360.355008,137.452,-85.058,-65.316,OAS,189.096992,-13.54
2016-09-30,189.096992,-13.54,-45.525,-33.942,-30.745486,-30.745486,2387.504,32.018,-96.758,72.041,OAS,224.392,5.414
2016-12-31,224.392,5.414,-29.475,-54.688,-19.059022,-19.059022,2923.156928,104.599,-858.657024,751.507968,OAS,277.156,14.814
2017-03-31,277.156,14.814,-21.491,23.825,-14.570124,-14.570124,2953.47392,107.799,-104.766,-0.474,OAS,253.152,7.64
2017-06-30,253.152,7.64,-29.364,16.568,-13.640198,-13.640198,2977.610048,102.062,-154.375008,49.968,OAS,312.843008,40.628
2017-09-30,312.843008,40.628,2.634,-41.064,-2.072744,-2.072744,3058.644984,88.876,-183.814,91.986,OAS,397.008992,77.735
2017-12-31,397.008992,77.735,40.869,128.117,25.073682,25.073682,3513.579072,209.139008,-271.804992,70.898,OAS,436.838016,76.104
2018-03-31,436.838016,76.104,38.775,3.712,26.69724,26.69724,3886.158032,228.359008,-812.568,585.224,OAS,513.902016,79.658
2018-06-30,513.902016,79.658,38.966,-316.300992,-86.044072,-86.044072,3574.250976,303.656992,-344.166016,39.846,OAS,481.257984,76.986
